                    Time	isStop	isStem	   Overall	          	 Attempted	          	                     Test	Approach                 
Sat Dec 10 18:39:27 2016	 False	  True	  0.137200	(343/2500)	  0.137200	(343/2500)	    cbtest_CN_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:39:27 2016	 False	  True	  0.223200	(558/2500)	  0.223200	(558/2500)	    cbtest_CN_test_2500ex	TrigramWP train PW       
Sat Dec 10 18:39:27 2016	 False	  True	  0.253200	(633/2500)	  0.253200	(633/2500)	    cbtest_CN_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:39:27 2016	 False	  True	  0.123600	(309/2325)	  0.132903	(309/2325)	    cbtest_CN_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:39:28 2016	 False	  True	  0.264000	(660/2195)	  0.300683	(660/2195)	    cbtest_CN_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:39:28 2016	 False	  True	  0.292000	(730/2325)	  0.313978	(730/2325)	    cbtest_CN_test_2500ex	TrigramWP train Wmixed   
Sat Dec 10 18:39:28 2016	 False	  True	  0.415200	(1038/2500)	  0.415200	(1038/2500)	    cbtest_CN_test_2500ex	All Approaches           

Sat Dec 10 18:39:28 2016	 False	  True	  0.210800	(527/1432)	  0.368017	(527/1432)	     cbtest_P_test_2500ex	Trigram Simple 20        
Sat Dec 10 18:39:28 2016	 False	  True	  0.647200	(1618/2499)	  0.647459	(1618/2499)	     cbtest_P_test_2500ex	Trigram Simple trian     
Sat Dec 10 18:39:28 2016	 False	  True	  0.626800	(1567/2499)	  0.627051	(1567/2499)	     cbtest_P_test_2500ex	Trigram Simple trian&20  
Sat Dec 10 18:39:28 2016	 False	  True	  0.119600	(299/2480)	  0.120565	(299/2480)	     cbtest_P_test_2500ex	TrigramWP 20 PP          
Sat Dec 10 18:39:28 2016	 False	  True	  0.358000	(895/2427)	  0.368768	(895/2427)	     cbtest_P_test_2500ex	TrigramWP 20 PW          
Sat Dec 10 18:39:28 2016	 False	  True	  0.338000	(845/2481)	  0.340588	(845/2481)	     cbtest_P_test_2500ex	TrigramWP 20 Pmixed      
Sat Dec 10 18:39:28 2016	 False	  True	  0.056800	(142/1406)	  0.100996	(142/1406)	     cbtest_P_test_2500ex	TrigramWP 20 WP          
Sat Dec 10 18:39:28 2016	 False	  True	  0.179200	(448/1218)	  0.367816	(448/1218)	     cbtest_P_test_2500ex	TrigramWP 20 WW          
Sat Dec 10 18:39:28 2016	 False	  True	  0.183200	(458/1408)	  0.325284	(458/1408)	     cbtest_P_test_2500ex	TrigramWP 20 Wmixed      
Sat Dec 10 18:39:28 2016	 False	  True	  0.433200	(1083/2500)	  0.433200	(1083/2500)	     cbtest_P_test_2500ex	TrigramWP MA             
Sat Dec 10 18:39:28 2016	 False	  True	  0.482400	(1206/2500)	  0.482400	(1206/2500)	     cbtest_P_test_2500ex	TrigramWP MM             
Sat Dec 10 18:39:28 2016	 False	  True	  0.492800	(1232/2500)	  0.492800	(1232/2500)	     cbtest_P_test_2500ex	TrigramWP mixed          
Sat Dec 10 18:39:28 2016	 False	  True	  0.129200	(323/2500)	  0.129200	(323/2500)	     cbtest_P_test_2500ex	TrigramWP train PP       
Sat Dec 10 18:39:28 2016	 False	  True	  0.468000	(1170/2500)	  0.468000	(1170/2500)	     cbtest_P_test_2500ex	TrigramWP train PW       
Sat Dec 10 18:39:28 2016	 False	  True	  0.416800	(1042/2500)	  0.416800	(1042/2500)	     cbtest_P_test_2500ex	TrigramWP train Pmixed   
Sat Dec 10 18:39:28 2016	 False	  True	  0.150000	(375/2306)	  0.162619	(375/2306)	     cbtest_P_test_2500ex	TrigramWP train WP       
Sat Dec 10 18:39:28 2016	 False	  True	  0.536000	(1340/2301)	  0.582355	(1340/2301)	     cbtest_P_test_2500ex	TrigramWP train WW       
Sat Dec 10 18:39:28 2016	 False	  True	  0.507600	(1269/2306)	  0.550304	(1269/2306)	     cbtest_P_test_2500ex	TrigramWP train Wmixed   
